partnership,ghgrp_id,frs_id,primary_naics,oris,longitude_wgs84,latitude_wgs84,source_name,operator,address,city,state_prov_name,state_prov_abbrv,state_location,source_type,source_type_common,epa_ind_subpart,epa_sector,fuel,co2_tonne,co2_bio,year,data_source,comments,featid
SECARB,1007514,1.10E+11,325412,,-66.53429461,18.44895735,ABBVIE LTD.,,RD 2 KM 58.0,BARCELONETA,PUERTO RICO,PR,,,INDUSTRIAL,C,Chemicals,,105997,,2013,U.S. EPA GHG Reporting Program,,27
SECARB,1004511,1.10E+11,331111,,-86.78200477,33.5772843,ABC COKE,,ONE RAILROAD AVENUE,TARRANT,ALABAMA,AL,,,INDUSTRIAL,"C,Q",Metals,,199458,,2013,U.S. EPA GHG Reporting Program,,28
PCOR,1002047,1.10E+11,325193,,-98.39684879,45.45794822,"ABE SOUTH DAKOTA, LLC - ABERDEEN",,38469 133RD STREET,ABERDEEN,SOUTH DAKOTA,SD,,,ETHANOL,"C,II","Other,Waste",,79509,205,2013,U.S. EPA GHG Reporting Program,,29
PCOR,1002074,1.10E+11,325193,,-98.2536,44.3744,"ABE SOUTH DAKOTA, LLC - HURON",,694 W PARK AVE NW,HURON,SOUTH DAKOTA,SD,,,ETHANOL,"C,II","Other,Waste",,42739,210,2013,U.S. EPA GHG Reporting Program,,30
PCOR,1006694,1.10E+11,325193,,-97.544124,40.895693,"ABENGOA BIOENERGY COMPANY, LLC",,1414 COUNTY ROAD O,YORK,NEBRASKA,NE,,,ETHANOL,"C,PP","Other,Suppliers of CO2",,102324,,2013,U.S. EPA GHG Reporting Program,,31
SWP,1005278,1.10E+11,325193,,-97.53097,37.78682,ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,,523 E UNION AVE,COLWICH,KANSAS,KS,,,ETHANOL,C,Other,,0,,2013,U.S. EPA GHG Reporting Program,,32
PCOR,,,,,-122.28608,55.60137,Willow Creek Mine,,,Chetwynd,BRITISH COLUMBIA,BC,,Mining,INDUSTRIAL,,,,70458,0,2012,Environment Canada,,824
SECARB,1002685,1.10E+11,211111,,-94.89778444,26.29556002,AC 857 A,,,OFFSHORE,TEXAS,TX,,,PETROLEUM/NATURAL GAS,"C,W-OFFSH",Petroleum and Natural Gas Systems,,173403,,2013,U.S. EPA GHG Reporting Program,,33
PCOR,1003096,1.10E+11,325193,,-98.923783,41.030247,"ABENGOA BIOENERGY OF NEBRASKA, LLC",,35955 NAVAHO RD,RAVENNA,NEBRASKA,NE,,,ETHANOL,"C,II","Other,Waste",,107222,,2013,U.S. EPA GHG Reporting Program,,34
PCOR,1005353,1.10E+11,325193,,-98.787071,45.443292,ABERDEEN ENERGY LLC,,13435 370TH AVENUE,MINA,SOUTH DAKOTA,SD,,,ETHANOL,C,Other,,182114,,2013,U.S. EPA GHG Reporting Program,,35
MRCSP,1006971,1.10E+11,928110,,-76.1301059,39.47516892,ABERDEEN PROVING GROUND-ABERDEEN AREA & EDGEWOOD AREA,,4304 SUSQUEHANNA AVE,APG,MARYLAND,MD,,,UNCLASSIFIED,C,Other,,33221,,2013,U.S. EPA GHG Reporting Program,,36
SWP,1003091,1.10E+11,211111,,-100.3497975,35.90223214,ABRAHAM COMPRESSOR STATION,,9835 US HWY 60,CANADIAN,TEXAS,TX,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,30942,,2013,U.S. EPA GHG Reporting Program,,37
PCOR,1002627,1.10E+11,325193,,-92.954239,43.497186,ABSOLUTE ENERGY LLC,,1372 STATELINE ROAD,ST ANSGAR (MONA),IOWA,IA,,,ETHANOL,"C,II","Other,Waste",,180038,518,2013,U.S. EPA GHG Reporting Program,,38
SECARB,1006529,1.10E+11,562111,,-92.532637,30.256038,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,,611 PETAL RD,EGAN,LOUISIANA,LA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,39
WESTCARB,1004830,1.10E+11,221112,,-117.3836181,35.76552013,ACE COGENERATION COMPANY,,12801 MARIPOSA STREET,TRONA,CALIFORNIA,CA,,,ELECTRICITY,C,Power Plants,,324374,,2013,U.S. EPA GHG Reporting Program,,40
PCOR,1004761,1.10E+11,325193,,-90.96,44.9596,ACE ETHANOL LLC,,815 WEST MAPLE STREET,STANLEY,WISCONSIN,WI,,,ETHANOL,"C,PP","Other,Suppliers of CO2",,72045,,2013,U.S. EPA GHG Reporting Program,,41
SECARB,1005601,1.10E+11,327121,,-97.29607743,30.32040525,ACME BRICK CO ELGIN PLANT,,1776 OLD MCDADE RD,ELGIN,TEXAS,TX,,,INDUSTRIAL,C,Minerals,,31203,,2013,U.S. EPA GHG Reporting Program,,42
SWP,1005046,1.10E+11,327420,,-99.81731429,34.32300589,ACME GYPSUM FACILITY,,4164 HIGHWAY 285,QUANAH,TEXAS,TX,,,CEMENT PLANT,C,Minerals,,28942,,2013,U.S. EPA GHG Reporting Program,,43
MRCSP,1002731,1.10E+11,221112,,-85.49320508,42.96188816,ADA COGENERATION,,7575 FULTON STREET EAST,ADA,MICHIGAN,MI,,,ELECTRICITY,C,Power Plants,,100331,,2013,U.S. EPA GHG Reporting Program,,44
SECARB,1003752,1.10E+11,325998,,-93.30537648,32.06256574,"ADA CARBON SOLUTIONS (RED RIVER), LLC",,201 RED RIVER MINE ROAD,COUSHATTA,LOUISIANA,LA,,,INDUSTRIAL,C,Chemicals,,97528,,2013,U.S. EPA GHG Reporting Program,,45
PCOR,1002154,1.10E+11,311225,,-93.992073,44.187051,ADM - MANKATO,,2019 3RD AVENUE,MANKATO,MINNESOTA,MN,,,AG PROCESSING,C,Other,,136439,,2013,U.S. EPA GHG Reporting Program,,46
PCOR,1006208,1.10E+11,311221,,-90.210449,41.820288,ADM CORN PROCESSING,,1251 BEAVER CHANNEL PARKWAY,CLINTON,IOWA,IA,,,ETHANOL,"C,TT","Other,Waste",,2171780,84829,2013,U.S. EPA GHG Reporting Program,,47
PCOR,1006047,1.10E+11,311221,,-91.6886,41.9284,ADM CORN PROCESSING,,1350 WACONIA AVENUE SOUTHWEST,CEDAR RAPIDS,IOWA,IA,,,ETHANOL,"C,II,PP","Other,Suppliers of CO2,Waste",,2767749,36234,2013,U.S. EPA GHG Reporting Program,,48
PCOR,1010610,1.10E+11,311222,,-94.578006,37.834418,ADM DEERFIELD,,17700 SOUTH HIGHWAY T,DEERFIELD,MISSOURI,MO,,,AG PROCESSING,C,Other,,30950,,2013,U.S. EPA GHG Reporting Program,,49
PCOR,1000034,1.10E+11,311222,,-93.583173,41.626337,ADM MILLING COMPANY,,1935 EAST EUCLID AVENUE,DES MOINES,IOWA,IA,,,AG PROCESSING,C,Other,,132412,,2013,U.S. EPA GHG Reporting Program,,50
SECARB,1006080,1.10E+11,322110,,-85.31858542,34.99792766,ADM SOUTHERN CELLULOSE PROD.IN,,103 W 45TH ST,CHATTANOOGA,TENNESSEE,TN,,,INDUSTRIAL,C,Pulp and Paper,,23317,,2013,U.S. EPA GHG Reporting Program,,51
MRCSP,1001991,1.10E+11,562212,,-84.04298454,41.90212805,ADRIAN LANDFILL,,1970 N OGDEN HWY,ADRIAN,MICHIGAN,MI,,,WASTE MANAGEMENT,"C,HH",Waste,,23,,2013,U.S. EPA GHG Reporting Program,,52
PCOR,1001845,1.10E+11,562212,,-89.87866656,44.40267815,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,,2510 ENGEL ROAD,WISCONSIN RAPIDS,WISCONSIN,WI,,,WASTE MANAGEMENT,"C,HH",Waste,,10,,2013,U.S. EPA GHG Reporting Program,,53
PCOR,1007212,1.10E+11,562212,,-88.00898583,42.90043802,ADVANCED DISPOSAL EMERALD PARK LANDFILL LLC,,W124 S10629 SOUTH 124TH STREET,MUSKEGO,WISCONSIN,WI,,,WASTE MANAGEMENT,"C,HH",Waste,,26,,2013,U.S. EPA GHG Reporting Program,,54
PCOR,1007195,1.10E+11,562212,,-88.55413606,43.45953808,ADVANCED DISPOSAL GLACIER RIDGE LANDFILL LLC,,N7296 HWY V,HORICON,WISCONSIN,WI,,,WASTE MANAGEMENT,"C,HH",Waste,,4,,2013,U.S. EPA GHG Reporting Program,,55
PCOR,1001847,1.10E+11,562212,,-88.19339602,44.13153821,"ADVANCED DISPOSAL HICKORY MEADOWS LANDFILL, LLC",,W3105 SCHNEIDER RD,HILBERT,WISCONSIN,WI,,,WASTE MANAGEMENT,"C,HH",Waste,,18,,2013,U.S. EPA GHG Reporting Program,,56
PCOR,1002038,1.10E+11,562212,,-88.725666,42.6515,"ADVANCED DISPOSAL MALLARD RIDGE LANDFILL, INC",,W8470 STATE RD 11,DELEVAN,WISCONSIN,WI,,,INDUSTRIAL,"C,HH",Waste,,43,,2013,U.S. EPA GHG Reporting Program,,57
PCOR,1003038,1.10E+11,562212,,-92.53242382,39.74367422,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",,31226 INTREPID ROAD,MACON,MISSOURI,MO,,,WASTE MANAGEMENT,"C,HH",Waste,,75,,2013,U.S. EPA GHG Reporting Program,,58
PCOR,1006979,1.10E+11,562212,,-90.530806,38.549361,ADVANCED DISPOSAL OAK RIDGE LANDFILL,,1741 SULPHUR SPRING ROAD,BALWIN,MISSOURI,MO,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,59
PCOR,1001843,1.10E+11,562212,,-93.87594783,45.24940801,ADVANCED DISPOSAL ROLLING HILLS LANDFILL INC,,175 COUNTY ROAD 37 NE,BUFFALO,MINNESOTA,MN,,,WASTE MANAGEMENT,"C,HH",Waste,,20,,2013,U.S. EPA GHG Reporting Program,,60
PCOR,1006964,1.10E+11,562212,,-91.50708709,44.83176811,ADVANCED DISPOSAL SEVEN MILE CREEK LANDFILL LLC,,8001 OLSON DR,EAU CLAIRE,WISCONSIN,WI,,,WASTE MANAGEMENT,"C,HH",Waste,,32,,2013,U.S. EPA GHG Reporting Program,,61
SECARB,1005310,1.10E+11,221112,,-66.15026818,17.9450027,AES - PUERTO RICO COGENERATION PLANT,,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA,PUERTO RICO,PR,,,ELECTRICITY,C,Power Plants,,3692519,,2013,U.S. EPA GHG Reporting Program,,62
WESTCARB,1001444,1.10E+11,221112,,-118.1009121,33.76880487,AES ALAMITOS,,690 N STUDEBAKER ROAD,LONG BEACH,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,894265,,2013,U.S. EPA GHG Reporting Program,,63
MRCSP,1001222,1.10E+11,221112,,-80.34654825,40.6607074,AES BEAVER VALLEY LLC,,394 FRANKFORT RD,MONACA,PENNSYLVANIA,PA,,,ELECTRICITY,D,Power Plants,,145922,,2013,U.S. EPA GHG Reporting Program,,64
SECARB,1000281,1.10E+11,221119,,-95.20493687,29.70498519,"AES DEEPWATER, INC.",,701 LIGHT COMPANY ROAD,PASADENA,TEXAS,TX,,,ELECTRICITY,D,Power Plants,,144753,,2013,U.S. EPA GHG Reporting Program,,65
NATCARB,1005972,1.10E+11,221112,,-158.1070144,21.30400345,AES HAWAII INC,,91-086 KAOMI LP,KAPOLEI,HAWAII,HI,,,ELECTRICITY,C,Power Plants,,1173034,,2013,U.S. EPA GHG Reporting Program,,66
WESTCARB,1001447,1.10E+11,221112,,-117.9790504,33.6445597,AES HUNTINGTON BEACH,,21730 NEWLAND ST,HUNTINGTON BEACH,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,497926,,2013,U.S. EPA GHG Reporting Program,,67
WESTCARB,1001450,1.10E+11,221112,,-118.3950121,33.85028286,AES REDONDO BEACH,,1100 N HARBOR DRIVE,REDONDO BEACH,CALIFORNIA,CA,,,ELECTRICITY,"C,D",Power Plants,,222995,,2013,U.S. EPA GHG Reporting Program,,68
SWP,1007781,1.10E+11,221112,,-94.64699605,35.19361212,"AES SHADY POINT, LLC",,3 MILES E. OF JUNCTION 31,PANAMA,OKLAHOMA,OK,,,ELECTRICITY,"C,PP","Power Plants,Suppliers of CO2",,2231408,,2013,U.S. EPA GHG Reporting Program,,69
MRCSP,1001223,1.10E+11,221112,,-78.74661273,39.59419785,AES WARRIOR RUN,,11600 MEXICO FARMS RD SE,CUMBERLAND,MARYLAND,MD,,,ELECTRICITY,"C,D,PP","Power Plants,Suppliers of CO2",,1474202,,2013,U.S. EPA GHG Reporting Program,,70
MRCSP,1007551,1.10E+11,221112,,-75.441667,44.725833,AG ENERGY,,21 ENTRANCE AVENUE,OGDENSBURG,NEW YORK,NY,,,ELECTRICITY,D,Power Plants,,0,,2013,U.S. EPA GHG Reporting Program,,71
PCOR,1002070,1.10E+11,311222,,-95.070103,41.919473,AG PROCESSING INC A COOP-MANNING,,1000 300TH STREET,MANNING,IOWA,IA,,,AG PROCESSING,C,Other,,25196,,2013,U.S. EPA GHG Reporting Program,,72
PCOR,1006054,1.10E+11,311222,,-93.738,42.7336,AG PROCESSING INC-EAGLE GROVE,,500 NORTH COMMERCIAL AVENUE,EAGLE GROVE,IOWA,IA,,,AG PROCESSING,C,Other,,115331,,2013,U.S. EPA GHG Reporting Program,,73
PCOR,1002291,1.10E+11,311222,,-96.0575,44.933,AG PROCESSING INCORPORATED A COOPERATIVE,,800 DIAGONAL STREET,DAWSON,MINNESOTA,MN,,,AG PROCESSING,C,Other,,24966,,2013,U.S. EPA GHG Reporting Program,,74
MRCSP,1007333,1.10E+11,327211,,-84.26889328,37.70028525,AGC FLAT GLASS N AMERICA INC,,201 DUNCANNON LANE,RICHMOND,KENTUCKY,KY,,,INDUSTRIAL,"C,N",Minerals,,90662,,2013,U.S. EPA GHG Reporting Program,,75
SWP,1004631,1.10E+11,327211,,-94.82522736,38.76028693,AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,,20400 NORTH WEBSTER STREET,SPRING HILL,KANSAS,KS,,,INDUSTRIAL,"C,N",Minerals,,100214,,2013,U.S. EPA GHG Reporting Program,,76
SECARB,1005824,1.10E+11,327211,,-82.77852083,36.49428841,AGC-GREENLAND FLATGLASS PLANT,,600 AFG ROAD,CHURCH HILL,TENNESSEE,TN,,,INDUSTRIAL,"C,N",Minerals,,102883,1248,2013,U.S. EPA GHG Reporting Program,,77
SWP,1002600,1.10E+11,611310,,-111.6463754,40.24704413,BRIGHAM YOUNG UNIVERSITY,,B-340 ASB,PROVO,UTAH,UT,,,UNCLASSIFIED,C,Other,,51383,,2013,U.S. EPA GHG Reporting Program,,78
PCOR,1002067,1.10E+11,311222,,-98.340764,40.593956,AGP SOY/CORN PROCESSING,,2801 E 7TH ST,HASTINGS,NEBRASKA,NE,,,AG PROCESSING,"C,II","Other,Waste",,214530,,2013,U.S. EPA GHG Reporting Program,,79
PCOR,1005284,1.10E+11,325199,,-96.224871,43.647278,AGRI ENERGY LLC,,502 SOUTH WALNUT AVENUE,LUVERNE,MINNESOTA,MN,,,ETHANOL,"C,II","Chemicals,Waste",,8272,,2013,U.S. EPA GHG Reporting Program,,80
WESTCARB,1004058,1.10E+11,325311,,-121.5758461,38.55833812,AGRIUM U S INCORPORATED,,3961 CHANNEL DRIVE,WEST SACRAMENTO,CALIFORNIA,CA,,,FERTILIZER,"C,V",Chemicals,,4278,,2013,U.S. EPA GHG Reporting Program,,81
SWP,1002380,1.10E+11,325311,,-101.4252868,35.64472804,AGRIUM US BORGER NITROGEN OPERATIONS,,9021 FARM RD 1551,BORGER,TEXAS,TX,,,FERTILIZER,"C,G,PP","Chemicals,Suppliers of CO2",,887648,,2013,U.S. EPA GHG Reporting Program,,82
BSCSP,1001154,1.10E+11,325312,,-111.5413846,42.73984814,AGRIUM US INC,,3010 CONDA ROAD,SODA SPRINGS,IDAHO,ID,,,FERTILIZER,"C,Z",Chemicals,,109592,,2013,U.S. EPA GHG Reporting Program,,83
BSCSP,1004236,1.10E+11,325311,,-119.0193942,46.16649813,AGRIUM US INC - KFO,,227515 E BOWLES ROAD,KENNEWICK,WASHINGTON,WA,,,FERTILIZER,"C,U,V",Chemicals,,7671,,2013,U.S. EPA GHG Reporting Program,,84
SECARB,1004374,1.10E+11,327212,,-81.66754528,33.54409647,AGY LLC,,2556 WAGENER RD.,AIKEN,SOUTH CAROLINA,SC,,,INDUSTRIAL,"C,N",Minerals,,11857,,2013,U.S. EPA GHG Reporting Program,,85
WESTCARB,1006430,1.10E+11,325120,,-118.4020121,33.90600487,"AIR LIQUID LARGE INDUSTRIES US, LP",,324 W EL SEGUNDO BLVD,EL SEGUNDO,CALIFORNIA,CA,,,REFINERIES/CHEMICAL,P,Chemicals,,582787,,2013,U.S. EPA GHG Reporting Program,,86
SECARB,1003724,1.10E+11,325120,,-97.48095697,27.81650869,AIR LIQUIDE - CORPUS CHRISTI SMR,,5880 UP RIVER ROAD,CORPUS CHRISTI,TEXAS,TX,,,REFINERIES/CHEMICAL,P,Chemicals,,417677,,2013,U.S. EPA GHG Reporting Program,,87
SECARB,1003730,1.10E+11,325120,,-95.38396,28.98037,AIR LIQUIDE - FREEPORT HYCO PLANT,,2398 VICTORIA ROAD,FREEPORT,TEXAS,TX,,,REFINERIES/CHEMICAL,C,Chemicals,,15117,,2013,U.S. EPA GHG Reporting Program,,88
SECARB,1003780,1.10E+11,325120,,-93.94886205,29.9788727,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,,2121 PARK STREET,PORT NECHES,TEXAS,TX,,,REFINERIES/CHEMICAL,C,Chemicals,,205979,,2013,U.S. EPA GHG Reporting Program,,89
SECARB,1003910,1.10E+11,325120,,-94.68821133,32.4414668,AIR LIQUIDE AMERICA CORP,,2292 CALLAHAN RD,LONGVIEW,TEXAS,TX,,,REFINERIES/CHEMICAL,P,Chemicals,,430713,,2013,U.S. EPA GHG Reporting Program,,90
SECARB,1006115,1.10E+11,325120,,-90.99192435,30.20895543,AIR LIQUIDE AMERICA CORP.,,36597 HWY 30,GEISMAR,LOUISIANA,LA,,,REFINERIES/CHEMICAL,C,Chemicals,,470703,,2013,U.S. EPA GHG Reporting Program,,91
SECARB,1003591,1.10E+11,221330,,-91.00832203,30.19796799,AIR LIQUIDE GEISMAR UTILITY SERVICES,,36183 HWY 30,GEISMAR,LOUISIANA,LA,,,UNCLASSIFIED,C,Power Plants,,101672,,2013,U.S. EPA GHG Reporting Program,,92
WESTCARB,1003748,1.10E+11,325120,,-122.2553322,38.04728802,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,,1391 SAN PABLO AVE,RODEO,CALIFORNIA,CA,,,REFINERIES/CHEMICAL,P,Chemicals,,884055,,2013,U.S. EPA GHG Reporting Program,,93
MRCSP,1005202,1.10E+11,325120,,-76.030833,40.836389,AIR PROD & CHEM TAMAQUA PLT,,357 MARIAN AVENUE,TAMAQUA,PENNSYLVANIA,PA,,,REFINERIES/CHEMICAL,"L,OO","Chemicals,Industrial Gas Suppliers",,,,2013,U.S. EPA GHG Reporting Program,,94
SECARB,1003013,1.10E+11,325120,,-93.28141721,30.24172178,AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,,102 TROUSDALE RD,WESTLAKE,LOUISIANA,LA,,,REFINERIES/CHEMICAL,P,Chemicals,,808508,,2013,U.S. EPA GHG Reporting Program,,95
SECARB,1002754,1.10E+11,325120,,-90.82922272,30.03972779,AIR PRODUCTS & CHEMICALS INC - CONVENT SMR,,10759 CONVENT WAY,CONVENT,LOUISIANA,LA,,,REFINERIES/CHEMICAL,P,Chemicals,,677191,,2013,U.S. EPA GHG Reporting Program,,96
SECARB,1002698,1.10E+11,325120,,-90.98934582,30.18251339,AIR PRODUCTS & CHEMICALS INC - GEISMAR SMR,,8013 HWY 3251,GEISMAR,LOUISIANA,LA,,,REFINERIES/CHEMICAL,"P,PP","Chemicals,Suppliers of CO2",,52191,,2013,U.S. EPA GHG Reporting Program,,97
SECARB,1003009,1.10E+11,325120,,-89.90301201,30.02761422,AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,,14700 INTRACOASTAL DRIVE,NEW ORLEANS,LOUISIANA,LA,,,REFINERIES/CHEMICAL,"C,P",Chemicals,,220227,,2013,U.S. EPA GHG Reporting Program,,98
WESTCARB,1002121,1.10E+11,325120,,-122.0758331,38.03285603,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,,110 WATERFRONT RD,MARTINEZ,CALIFORNIA,CA,,,REFINERIES/CHEMICAL,P,Chemicals,,719190,,2013,U.S. EPA GHG Reporting Program,,99
WESTCARB,1002122,1.10E+11,325120,,-122.0613003,38.01801179,"AIR PRODUCTS & CHEMICALS, INC, TESORO MARTINEZ",,,MARTINEZ,CALIFORNIA,CA,,,REFINERIES/CHEMICAL,P,Chemicals,,270189,,2013,U.S. EPA GHG Reporting Program,,100
